O11,O12,O13,O21,O22,O23,O31,O32,O33,X,Y,Z,GrainRadius,Eul0,Eul1,Eul2,eKen11,eKen12,eKen13,eKen21,eKen22,eKen23,eKen31,eKen32,eKen33
-0.282424,0.952029,-0.117804,-0.943457,-0.253441,0.213672,0.173565,0.171489,0.969777,-260.460083,65.239181,436.858949,74.337388,3.645458,0.246483,0.791415,-57.791137,-95.780073,172.959616,-95.780073,-188.492682,-43.520113,172.959616,-43.520113,982.267116
0.726099,0.156774,0.669479,-0.686232,0.104058,0.719901,0.043197,-0.982137,0.18314,-119.625157,6.057491,227.856866,82.968263,2.39247,1.386617,3.097638,-643.33797,-67.855447,-145.947936,-67.855447,-313.766512,-109.857224,-145.947936,-109.857224,1239.805396
-0.10932,0.624337,0.773468,-0.91645,-0.364637,0.164803,0.384928,-0.690828,0.612036,116.230967,25.385718,412.713536,87.308427,1.780728,0.912164,2.63324,123.661302,-40.192731,-116.406327,-40.192731,-226.089163,-14.358283,-116.406327,-14.358283,861.057115
0.543641,0.782215,-0.304293,-0.560202,0.608139,0.562442,0.625003,-0.135301,0.768808,232.114402,61.530311,330.565482,97.502443,3.637516,0.693822,1.783988,23.628244,-144.060271,-8.296882,-144.060271,-150.112355,102.344724,-8.296882,102.344724,1234.439393
0.426002,-0.223215,0.876754,-0.474108,0.770288,0.426472,-0.770548,-0.597354,0.222317,-279.033357,4.950325,235.460765,66.152151,2.023522,1.346606,4.052933,-250.082387,-184.333152,-199.341255,-184.333152,-225.904341,197.876275,-199.341255,197.876275,791.9372
0.275505,0.654407,-0.704165,0.424797,0.574234,0.699859,0.862348,-0.491942,-0.119786,166.678095,-241.984327,285.93934,94.04839,3.930057,1.690871,2.089218,17.394966,91.438023,-17.195443,91.438023,-398.819487,-50.652976,-17.195443,-50.652976,1182.890427
-0.584055,0.312566,-0.749121,0.605797,0.782113,-0.14598,0.540269,-0.539075,-0.646148,-245.080191,-254.616538,449.19781,112.380441,4.904845,2.273323,2.355088,8.790624,70.54104,-22.085392,70.54104,78.954427,-5.772582,-22.085392,-5.772582,1051.635574
-0.647063,-0.145165,-0.748489,0.709275,0.245544,-0.660785,0.27971,-0.958455,-0.055921,188.416122,-198.074056,432.260311,96.157536,5.435634,1.626746,2.857644,-94.760405,69.774791,-0.330009,69.774791,-170.101841,-205.680724,-0.330009,-205.680724,1597.369582
0.494636,-0.574331,-0.652288,0.794524,0.603001,0.071562,0.35223,-0.553656,0.754586,-51.845236,-88.842057,546.752076,100.840873,4.603117,0.715774,2.574987,-129.478296,9.848939,-54.472953,9.848939,-121.944909,-63.062032,-54.472953,-63.062032,1080.46229
-0.287865,0.784157,0.549756,-0.803759,0.114282,-0.583876,-0.520678,-0.609949,0.597375,524.021077,-418.660472,438.300482,78.86186,0.75531,0.930572,3.848197,-594.808685,-132.189791,-151.258894,-132.189791,-91.000894,-45.575098,-151.258894,-45.575098,779.027055
