%GrainID,O11,O12,O13,O21,O22,O23,O31,O32,O33,X,Y,Z,a,b,c,alpha,beta,gamma,DiffPos,DiffOme,DiffAngle,GrainRadius,Confidence,eFab11,eFab12,eFab13,eFab21,eFab22,eFab23,eFab31,eFab32,eFab33,eKen11,eKen12,eKen13,eKen21,eKen22,eKen23,eKen31,eKen32,eKen33,RMSErrorStrain,PhaseNr,Eul0,Eul1,Eul2,layer,Zraw,eqv_strain,strain/error,Confidence/R
46410.0,-0.293511,0.245879,0.923794,-0.379272,0.857094,-0.348629,-0.877499,-0.452695,-0.158311,-99.247224,311.601451,329.249947,3.598505,3.594671,3.59342,90.005166,89.952155,89.938834,107.085052,0.066757,0.061862,97.744138,1.0,-548.688399,-89.083158,-17.73816,-89.083158,-118.239412,177.255408,-17.73816,177.255408,1326.727,-190.15761,-121.709861,103.337314,-121.709861,-92.811266,173.240274,103.337314,173.240274,1300.641849,976.17462,1.0,1.209933,1.729777,4.236108,0.0,-70.750053,1458.9254686661543,1.4945332922773122,0.010230792561698175
44454.0,0.610806,0.473445,-0.634638,-0.192853,0.866353,0.460695,0.767935,-0.159004,0.620479,-121.962615,-102.19193,207.93324,3.596792,3.593923,3.59494,90.014486,89.962247,90.050189,128.972275,0.057071,0.059251,77.157789,0.833333,-248.860923,-193.447609,60.285655,-193.447609,-150.615284,-323.674107,60.285655,-323.674107,797.958595,-45.231815,-191.262416,145.688902,-191.262416,111.470656,-50.853859,145.688902,-50.853859,763.450844,817.151216,1.0,4.084479,0.901443,1.774965,0.0,-192.06676,772.7193854505991,0.9456259384072179,0.010800374282368304
44814.0,0.570526,0.475801,-0.669413,-0.455269,0.861613,0.224396,0.683543,0.176739,0.70819,354.335566,509.474414,518.7346689999999,3.595219,3.599184,3.59532,89.934738,89.908231,89.968138,111.942629,0.064581,0.059252,112.244642,1.0,-429.660414,602.939039,278.709671,602.939039,792.115765,548.900521,278.709671,548.900521,1166.197433,-482.725389,98.331352,55.192127,98.331352,40.391381,92.301339,55.192127,92.301339,1014.547958,338.326695,1.0,4.388947,0.783865,1.317775,0.0,118.734669,1322.1784697005469,3.907993336737874,0.00890911122510418
45150.0,0.427762,0.7022,0.569153,-0.769512,0.61325,-0.178257,-0.474205,-0.361718,0.802676,544.408014,-365.79696,279.648883,3.59159,3.593848,3.595712,90.012847,90.04584,89.940725,157.067593,0.07731,0.070976,77.775996,0.814286,-169.052849,191.198508,42.947277,191.198508,-1176.916747,-159.43645,42.947277,-159.43645,491.078417,182.258523,-60.502629,-355.572178,-60.502629,-350.647738,71.848225,-355.572178,71.848225,639.344093,837.931607,1.0,1.267276,0.639027,4.060753,0.0,-120.351117,915.3910614433584,1.0924412610722278,0.010469631272867272
45156.0,-0.292289,-0.212978,-0.932313,0.954305,-0.001548,-0.29883,0.062201,-0.977056,0.203698,-263.752032,-381.87424,472.758435,3.59295,3.599808,3.594849,90.048166,90.00087,89.983205,76.921004,0.05611,0.050536,141.193037,0.986301,-105.311201,96.829069,-27.755935,96.829069,-447.39401,-289.974405,-27.755935,-289.974405,1494.558597,-360.133623,6.890301,2.970837,6.890301,-163.403229,-13.938464,2.970837,-13.938464,1282.980137,490.425022,1.0,5.022569,1.365662,3.078017,0.0,72.758435,1554.176050519176,3.1690390595918165,0.006985479036051898
45857.0,-0.171585,0.660443,0.731009,-0.82348,0.311155,-0.474409,-0.540777,-0.683372,0.490472,-9.587138,-385.469256,420.917782,3.593747,3.595546,3.595854,90.008538,90.103364,89.960235,91.756805,0.083833,0.065767,107.96447,1.0,330.857743,167.997768,346.422057,167.997768,-957.426844,-9.490192,346.422057,-9.490192,882.538423,32.260442,6.584813,83.634417,6.584813,-157.541921,103.43523,83.634417,103.43523,1029.368735,215.169547,1.0,0.99514,1.058165,3.811029,0.0,20.917782,1110.3180115866805,5.16020053519321,0.009262306386536237
46017.0,0.50664,0.165925,-0.846041,0.794458,0.291327,0.532885,0.334893,-0.942124,0.015778,-141.108394,231.605591,555.847088,3.59379,3.59984,3.596688,90.024439,89.988437,90.022753,86.886122,0.050691,0.051545,115.841996,1.0,299.113528,-344.379619,-388.720393,-344.379619,34.609305,-200.460677,-388.720393,-200.460677,1362.29386,-200.652984,63.059189,-79.360066,63.059189,-84.994202,-230.627742,-79.360066,-230.627742,1332.764203,208.280238,1.0,4.150305,1.555018,2.800057,0.0,155.847088,1494.9882229215357,7.17777277996742,0.008632447942281659
46650.0,-0.714072,0.700068,-0.002433,-0.452004,-0.458387,0.765228,0.534597,0.547527,0.643755,387.289182,-213.235672,574.102573,3.596249,3.596982,3.595903,89.948781,89.95359,90.023252,129.859589,0.05841,0.061956,73.947919,0.901408,722.526524,-48.296574,95.857784,-48.296574,-272.289582,104.967885,95.857784,104.967885,915.856583,-137.469428,-14.963887,70.322742,-14.963887,-0.870875,-84.05824,70.322742,-84.05824,1025.490671,602.08565,1.0,3.144772,0.871401,0.77345,0.0,174.102573,1105.1936188193365,1.8356086361123813,0.012189768315184096
45889.0,-0.180246,0.918923,0.350845,-0.76736,-0.354514,0.534302,0.615362,-0.172919,0.769044,462.794412,482.173858,451.127693,3.596336,3.595911,3.595768,89.987939,89.905842,90.054357,114.028071,0.070721,0.066731,84.896925,0.978261,445.884559,51.118748,-175.372228,51.118748,-589.393006,-283.991314,-175.372228,-283.991314,1197.295191,-80.200059,-134.132384,-89.861263,-134.132384,-302.606674,-111.104118,-89.861263,-111.104118,1274.388524,581.429476,1.0,2.560562,0.693452,1.844735,0.0,51.127693,1488.1036234412272,2.559387999519356,0.011522926183722203
45635.0,0.206197,0.384724,-0.899706,0.870422,0.347953,0.348274,0.447045,-0.854936,-0.263125,-252.252997,68.623187,286.791902,3.595049,3.598501,3.597838,90.027058,90.038943,90.053776,79.733123,0.062483,0.053783,148.183356,1.0,1071.270837,-21.49667,-132.937707,-21.49667,-251.911569,36.321087,-132.937707,36.321087,1173.801819,-92.104192,-41.35098,-142.229218,-41.35098,-51.525327,-61.15375,-142.229218,-61.15375,1221.258373,158.846467,1.0,4.343054,1.837056,2.659795,0.0,-113.208098,1300.973572199322,8.190132250151475,0.006748396223392322
